Compañía,,Reporte,Resultados 3T15,Expectativa 3T15,Variación,Resultados 3T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 3T15 (A),Expectativa 3T15 (B),Variación (%) (A/B),Resultados 3T14 (C ),Variación (%) (A/C),19,13,3,35,NOTA,REPORTE
ALFA,Alfa,20/10/2015,"7,631","8,907",-14.33,"7,163",6.53,,1,,,http://www.elfinanciero.com.mx/empresas/alfa-gana-con-petroquimica-y-automotriz-flujo-aumenta.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627198_2015-03_1.pdf
ALSEA,Alsea,28/10/2015,"1,087","1,003",8.37,706,53.97,1,,,,http://www.elfinanciero.com.mx/empresas/alsea-incrementa-54-su-flujo-operativo-en-3t15-utilidad-cae-38.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629677_2015-03_1.pdf
AMX,América Móvil,19/10/2015,"66,734","69,780",-4.37,"69,189",-3.55,,1,,,http://www.elfinanciero.com.mx/empresas/amovil-aumenta-ingresos-pero-pierde-884-mdp-en-el-3t15.html,https://www.bmv.com.mx/docs-pub/eventore/eventore_626966_1.pdf
AC,ArcaContinental,23/10/2015,"4,702","4,188",12.27,"3,738",25.79,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-crece-ventas-y-flujo-operativo-26-durante-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628098_2015-03_1.pdf
CEMEX,Cemex,22/10/2015,"11,561","11,896",-2.82,"10,346",11.74,,,1,,http://www.elfinanciero.com.mx/empresas/cemex-vende-activos-por-620-mdd-para-recuperar-grado-de-inversion.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627741_2015-03_1.pdf
KOF,Coca-Cola Femsa,28/10/2015,"7,988","7,417",7.70,"8,008",-0.25,1,,,,http://www.elfinanciero.com.mx/empresas/ganancia-de-coca-cola-femsa-cae-40-en-el-tercer-trimestre.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629262_2015-03_1.pdf
COMERCI*,Controladora Comercial Mexicana,22/10/2015,"1,055","1,124",-6.14,"1,091",-3.30,,1,,,http://www.elfinanciero.com.mx/empresas/la-comer-registra-caida-de-en-su-flujo-operativo-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627938_2015-03_1.pdf
FEMSA,Femsa,28/10/2015,"12,151","11,461",6.02,"11,412",6.48,1,,,,http://www.elfinanciero.com.mx/empresas/oxxo-inyecta-gas-a-femsa-en-3t15-suben-ingresos.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629693_2015-03_1.pdf
LAB,Genomma Lab Internacional,28/10/2015,407,538,-24.35,850,-52.12,,1,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-sin-sanar-en-mexico-cae-utilidad-61-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629795_2015-03_1.pdf
GRUMA*,Gruma,21/10/2015,"2,412","2,181",10.59,"1,929",25.04,1,,,,http://www.elfinanciero.com.mx/empresas/gruma-se-beneficia-del-peso-debil-ventas-crecen-21-y-flujo-25-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627563_2015-03_1.pdf
OMA,Grupo Aeroportuario del Centro Norte,26/10/2015,673,611,10.15,545,23.49,1,,,,http://www.elfinanciero.com.mx/empresas/pasajeros-e-iniciativas-comerciales-suben-flujo-operativo-de-oma-23.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628493_2015-03_1.pdf
GAP,Grupo Aeroportuario del Pacífico,22/10/2015,"1,493","1,266",17.92,875,70.61,1,,,,http://www.elfinanciero.com.mx/empresas/gap-registra-crecimiento-de-75-en-flujo-operativo-en-tercer-trimestre.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627910_2015-03_1.pdf
ASUR,Grupo Aeroportuario del Sureste,22/10/2015,"1,143","1,101",3.81,880,29.89,1,,,,http://www.elfinanciero.com.mx/empresas/asur-eleva-su-flujo-operativo-30-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627893_2015-03_1.pdf
BIMBO,Grupo Bimbo,22/10/2015,"6,542","6,336",3.25,"5,573",17.39,1,,,,http://www.elfinanciero.com.mx/empresas/bimbo-se-beneficia-de-dolar-fuerte-crecen-ventas-13-73-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627904_2015-03_1.pdf
GCARSO,Grupo Carso,22/10/2015,"2,955","3,052",-3.18,"2,371",24.63,,1,,,http://www.elfinanciero.com.mx/empresas/mejoras-en-sanborns-y-energia-impulsan-24-flujo-de-grupo-carso.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628451_2015-03_1.pdf
ELEKTRA,Grupo Elektra,27/10/2015,"2,635","2,423",8.75,"2,433",8.30,1,,,,http://www.elfinanciero.com.mx/empresas/elektra-aumenta-sus-ventas-en-3t15-reporta-perdida-neta-de-mil-220-mdp.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629052_2015-03_1.pdf
GMEXICO*,Grupo México,27/10/2015,"11,561","13,538",-14.60,"13,786",-16.14,,1,,,http://www.elfinanciero.com.mx/empresas/bajo-precio-de-metales-opaca-ebitda-de-grupo-mexico-cae-33.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628941_2015-03_1.pdf
SIMEC*,Grupo Simec,28/10/2015,806,725,11.17,487,65.50,1,,,,http://www.elfinanciero.com.mx/empresas/simec-incrementa-65-su-ebitda-por-costos-mas-bajos.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629647_2015-03_1.pdf
