Compañía,,Reporte,Resultados 4T15,Expectativa 4T15,Variación,Resultados 4T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 4T15 (A),Expectativa 4T15 (B),Variación (%) (A/B),Resultados 4T14 (C ),Variación (%) (A/C),6,1,9,16,NOTA,REPORTE
ALFA,Alfa,10 Febrero,"65,232","66,723",-2.23,"64,221",1.57,,,1,,http://www.elfinanciero.com.mx/empresas/alfa-ve-aumento-de-flujo-operativo-en-todos-sus-negocios-menos-newpek.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647045_2015-04_1.pdf
ALSEA,Alsea,11 Febrero,"8,958","8,974",-0.18,"7,904",13.34,,,1,,http://www.elfinanciero.com.mx/empresas/alsea-sazona-resultados-en-4t15-crecen-flujos-31-y-ventas-13.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647449_2015-04_1.pdf
AMX,América Móvil,9 Febrero,"230,577","227,916",1.17,"229,304",0.56,,,1,,http://www.elfinanciero.com.mx/empresas/flujo-operativo-de-america-movil-cae.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646954_2015-04_1.pdf
AC,ArcaContinental,19 Febrero,"22,441","21,909",2.43,"16,200",38.52,,,1,,http://www.elfinanciero.com.mx/empresas/lindley-impulsa-a-arca-continental-en-4t15-ventas-crecen-39.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_648684_2015-04_1.pdf
CEMEX,Cemex,4 Febrero,"57,292","60,832",-5.82,"52,536",9.05,,1,,,http://www.elfinanciero.com.mx/empresas/cemex-gana-por-primera-vez-en-anos-suma-utilidad-de-75-mdd-en-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646119_2015-04_1.pdf
KOF,Coca-Cola Femsa,23 Febrero,,"40,336",,"39,567",,,,,,,
FEMSA,Femsa,24 Febrero,,"88,608",,"70,156",,,,,,,
LAB,Genomma Lab Internacional,26 Febrero,,"2,604",,"2,843",,,,,,,
GRUMA,Gruma,25 Febrero,,"15,213",,"12,907",,,,,,,
OMA,Grupo Aeroportuario del Centro Norte,29 Febrero,,"1,152",,992,,,,,,,
GAP,Grupo Aeroportuario del Pacífico,25 Febrero,,"2,196",,"1,334",,,,,,,
ASUR,Grupo Aeroportuario del Sureste,22 Febrero,"2,905","2,532",14.73,"1,685",72.40,1,,,,http://www.elfinanciero.com.mx/empresas/asur-aumenta-24-flujo-operativo-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649170_2015-04_1.pdf
BIMBO,Grupo Bimbo,25 Febrero,,"57,490",,"51,122",,,,,,,
GCARSO,Grupo Carso,25 Febrero,,"25,898",,"24,857",,,,,,,
ELEKTRA,Grupo Elektra,24 Febrero,,"19,823",,"20,510",,,,,,,
GMEXICO*,Grupo México,10 Febrero,"1,988","1,934",2.79,"2,325",-14.49,,,1,,http://www.elfinanciero.com.mx/empresas/cae-24-flujo-de-gmexico-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647242_2015-04_1.pdf
SIMEC,Grupo Simec,26 Febrero,,"6,444",,"6,604",,,,,,,
ICA,ICA,26 Febrero,,"8,251",,"10,962",,,,,,,
IENOVA,IEnova,23 Febrero,,"2,783",,"2,957",,,,,,,
ICH,Industrias CH,26 Febrero,,"7,142",,"7,908",,,,,,,
PE&OLES,Industrias Peñoles,1 Marzo,,"17,510",,"15,819",,,,,,,
KIMBER,Kimberly Clark de México,21 Enero,"8,485","8,559",-0.86,"7,638",11.09,,,1,,http://www.elfinanciero.com.mx/empresas/kimberly-crece-25-ebitda-y-11-ventas-en-4t15-por-aumento-en-precios.html,http://www.bmv.com.mx/docs-pub/eventore/eventore_643775_2.pdf
LACOMER,La Comer,26 Febrero,,"12,130",,"12,037",,,,,,,
LALA,Lala,22 Febrero,"12,530","12,409",0.98,"11,584",8.17,,,1,,http://www.elfinanciero.com.mx/empresas/operaciones-en-mexico-y-nicaragueense-eskimo-impulsan-a-lala-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649155_2015-04_1.pdf
LIVEPOL,Liverpool,25 Febrero,,"32,640",,"28,712",,,,,,,
MEXCHEM,Mexichem,24 Febrero,,"22,566",,"20,201",,,,,,,
NEMAK,Nemak,10 Febrero,"17,532","17,876",-1.92,"15,128",15.89,,,1,,http://www.elfinanciero.com.mx/empresas/productos-sofisticados-impulsa-flujo-de-nemak-aumenta.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647041_2015-04_1.pdf
OHLMEX,OHL México,22 Febrero,"5,199","4,782",8.72,"4,816",7.95,1,,,,http://www.elfinanciero.com.mx/empresas/suben-26-ingresos-por-peaje-de-ohl-mexico.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649155_2015-04_1.pdf
PINFRA,Promotora y Operadora de Infraestructura,24 Febrero,,"2,556",,"2,060",,,,,,,
SITES,Telesites,25 Febrero,,"1,102",,"3,105",,,,,,,
TLEVISA,Televisa,25 Febrero,,"25,681",,"24,020",,,,,,,
