Compañía,,Reporte,Resultados 4T15,Expectativa 4T15,Variación,Resultados 4T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
WALMEX,Walmart de México y Centroamérica,16 Febrero,"145,914","145,528",0.27,"129,440",12.73,,,1,,http://www.elfinanciero.com.mx/empresas/wal-mart-crece-13-sus-ventas-pero-baja-sus-flujos-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_648088_2015-04D_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 4T15,,,Resultados 4T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,25 Enero,"8,399","1,922",337.01,"7,487",12.18,1,,,,,http://www.bmv.com.mx/docs-pub/infingps/infingps_645275_2015-04_1.pdf
GENTERA,Gentera,23 Febrero,,"4,582",,,,,,,,,
GFNORTE,Grupo Financiero Banorte,28 Enero,"70,239","20,883",236.34,"72,579",-3.22,1,,,,http://www.elfinanciero.com.mx/economia/crecen-12-utilidades-de-gf-banorte-en-2015.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_645213_2015-04_1.pdf
GFINBUR,Grupo Financiero Inbursa*,29 Enero,"23,672","5,320",344.96,"22,987",2.98,1,,,,,http://www.bmv.com.mx/docs-pub/infingps/infingps_645155_2015-04_1.pdf
SANMEX,Grupo Financiero Santander*,29 Enero,"63,773","16,992",275.31,"57,857",10.23,1,,,,http://www.elfinanciero.com.mx/economia/cartera-de-credito-de-santander-crece-18-en-4t15.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_645282_2015-04_1.pdf
,,,,,,,,,,,,,
Millones de pesos / ND= No disponible / NA= No aplica / NC= No comparable / * Cifras en dólares,,,,,,,,,,,,,
"FUENTE: Consenso entre 10 casas de bolsa: Monex, Ve por Más, Bursamétrica, Banorte-IXE, Accival, GBM, Credit Suisse, Interacciones, entre otras.",,,,,,,,,,,,,
