Compañía,,Reporte,Resultados 2T15,Expectativa 2T15,Variación,Resultados 2T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
ICH,Industrias CH,23/07/2015,"1,050",827,26.96,711,47.68,1,,,,http://www.elfinanciero.com.mx/empresas/electricidad-y-acero-barato-impulsan-a-ich-flujo-sube-47.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611662_2015-02_1.pdf
PE&OLES,Industrias Peñoles,8-Apr-2015,"3,767","4,071",-7.48,"3,677",2.43,,1,,,http://www.elfinanciero.com.mx/empresas/dolar-caro-amortigua-caida-en-flujo-de-penoles-baja-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_614069_2015-02_1.pdf
KIMBER,Kimberly Clark de México,23/07/2015,"2,189","2,041",7.25,"1,879",16.50,1,,,,http://www.elfinanciero.com.mx/empresas/alza-en-precios-impulsa-a-kimberly-clark-en-2t15-ingresos-suben-10.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611555_2015-02_1.pdf
LALA,Lala,28/07/2015,"1,672","1,555",7.52,"1,339",24.87,1,,,,http://www.elfinanciero.com.mx/empresas/lala-reporta-aumento-de-en-ventas-y-24-en-flujo-operativo-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612684_2015-02_1.pdf
LIVEPOL,Liverpool,28/07/2015,"3,389","3,336",1.59,"2,922",15.98,,,1,,http://www.elfinanciero.com.mx/empresas/liverpool-crece-11-sus-ventas-y-15-su-flujo-en-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611957_2015-02_1.pdf
MEXCHEM,Mexichem,20/07/2015,"4,166","3,461",20.37,"3,341",24.69,1,,,,http://www.elfinanciero.com.mx/empresas/negocios-europeos-impulsan-a-mexichem-crece-flujos-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610225_2015-02_1.pdf
OHLMEX,OHL México,22/07/2015,"1,892","2,741",-30.97,"2,250",-15.91,,1,,,http://www.elfinanciero.com.mx/empresas/peaje-unico-negocio-de-ohl-mexico-que-gana.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611098_2015-02_1.pdf
PINFRA*,Promotora y Operadora de Infraestructura,28/07/2015,"1,350","1,061",27.24,967,39.61,1,,,,http://www.elfinanciero.com.mx/empresas/ingresos-de-pinfra-crecen-81-por-construccion-de-nuevas-concesiones.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611562_2015-02_1.pdf
TLEVISA,Televisa,7-Jun-2015,"7,834","7,795",0.50,"7,573",3.45,,,1,,http://www.elfinanciero.com.mx/empresas/elecciones-y-ausencia-de-mundial-pegan-a-publicidad-de-televisa.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_608273_2015-02_1.pdf
WALMEX,Walmart de México y Centroamérica,21/07/2015,"10,293","10,612",-3.01,"9,646",6.71,,1,,,http://www.elfinanciero.com.mx/empresas/walmart-aumenta-flujo-operativo-del-2t15-su-utilidad-neta-cae-35.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610554_2015-02_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 2T15,,,Resultados 2T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,27/07/2015,586,679,-13.70,469,24.95,,1,,,http://www.elfinanciero.com.mx/economia/utilidades-de-banregio-ascienden-a-436-mdp-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_611975_2015-02_1.pdf
GENTERA,Gentera,28/07/2015,"1,019",997,2.21,"1,082",-5.82,,,1,,http://www.elfinanciero.com.mx/economia/crecen-10-utilidades-de-gentera-en-primer-semestre-del-ano.html,http://www.bmv.com.mx/docs-pub/infinbnc/infinbnc_612695_2015-02_1.pdf
GFNORTE,Grupo Financiero Banorte,23/07/2015,"4,983","5,334",-6.58,"4,906",1.57,,1,,,http://www.elfinanciero.com.mx/economia/utilidades-de-banorte-crecen-en-primer-semestre-del-ano.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_611426_2015-02_1.pdf
GFINBUR,Grupo Financiero Inbursa*,28/07/2015,"6,428","4,372",47.03,"5,223",23.07,1,,,,http://www.elfinanciero.com.mx/economia/utilidades-de-gf-inbursa-crecen-24-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_612038_2015-02_1.pdf
SANMEX,Grupo Financiero Santander*,29/07/2015,"4,192","4,934",-15.04,"4,620",-9.26,,1,,,http://www.elfinanciero.com.mx/economia/aumenta-santander-mexico-beneficio-en-primer-semestre.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_613297_2015-02_1.pdf
,,,,,,,,,,,,,
Millones de pesos / ND= No disponible / NA= No aplica / NC= No comparable / * Fecha estimada,,,,,,,,,,,,,
"FUENTE: Consenso entre 10 casas de bolsa: Monex, Ve por Más, Bursamétrica, Banorte-IXE, Accival, GBM, Credit Suisse, Interacciones, entre otras.",,,,,,,,,,,,,
