Compañía,,Reporte,Resultados 1T15,Expectativa 1T15,Variación,Resultados 1T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
BIMBO,Grupo Bimbo,4/23/2015,"1,036.51",690.67,50.07,533.10,94.43,1,,,,http://www.elfinanciero.com.mx/empresas/dolar-y-canada-bread-impulsan-desempeno-de-bimbo-aumenta-43-flujo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589478_2015-01_1.pdf
GCARSO,Grupo Carso,4/23/2015,"1,697.37","1,418.50",19.66,"1,899.49",-10.64,1,,,,http://www.elfinanciero.com.mx/empresas/mayor-consumo-y-telecom-eleva-flujo-de-gcarso-sube-10-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589330_2015-01_1.pdf
ELEKTRA,Grupo Elektra,4/21/2015,"-3,279.70",742.00,NC,-174.83,"1,775.94",,1,,,http://www.elfinanciero.com.mx/empresas/elektra-aumenta-21-su-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588602_2015-01_1.pdf
GMEXICO*,Grupo México,4/30/2015,"5,680.00","4,953.30",14.67,"5,252.31",8.14,1,,,,http://www.elfinanciero.com.mx/empresas/flujo-de-gmexico-se-opaca-por-precio-del-cobre-cae.html,http://www.bmv.com.mx/infoifrs/infoifrs_590563_2015-01_1.pdf
ICA,ICA,4/30/2015,-708.36,-480.00,47.58,236.62,NC,1,,,,http://www.elfinanciero.com.mx/empresas/construccion-en-el-exterior-apoya-resultados-de-ica-ingresos-crecen-11-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_591864_2015-01_1.pdf
IENOVA,Ienova,4/22/2015,704.00,596.72,17.98,611.32,15.16,1,,,,http://www.elfinanciero.com.mx/empresas/bajo-precio-de-electricidad-entumece-flujo-de-ienova-sube-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589060_2015-01_1.pdf
ICH,Industrias CH,4/30/2015,456.61,322.00,41.80,380.86,19.89,1,,,,http://www.elfinanciero.com.mx/empresas/mayor-venta-de-acero-comercial-impulsa-a-ich-flujo-aumenta-39.html,http://www.bmv.com.mx/infoifrs/infoifrs_593832_2015-01_1.pdf
PE&OLES,Industrias Peñoles,4/30/2015,"1,387.22","1,099.00",26.23,"1,375.43",0.86,1,,,,http://www.elfinanciero.com.mx/empresas/mayor-extraccion-de-oro-y-plata-impulsan-a-penoles-flujo-aumenta-13.html,http://www.bmv.com.mx/infoifrs/infoifrs_592859_2015-01_1.pdf
KIMBER,Kimberly Clark de México,4/23/2015,"1,000.00",895.00,11.73,974.00,2.67,1,,,,http://www.elfinanciero.com.mx/empresas/kimberly-clark-de-mexico-aumenta-ventas-y-ebitda-en-1t15.html,http://www.kimberly-clark.com.mx/informacion_financiera/boletines/PR1T15_final.pdf
LALA,Lala,4/28/2015,944.00,823.67,14.61,796.00,18.59,1,,,,http://www.elfinanciero.com.mx/empresas/lala-aumenta-25-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_590955_2015-01_1.pdf
LIVEPOL,Liverpool,4/24/2015,"1,303.73","1,024.33",27.28,948.06,37.52,1,,,,http://www.elfinanciero.com.mx/empresas/liverpool-sube-19-su-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589774_2015-01_1.pdf
MEXCHEM,Mexichem,4/21/2015,289.15,124.50,132.25,685.31,-57.81,1,,,,http://www.elfinanciero.com.mx/empresas/eu-e-inglaterra-sostienen-ebitda-de-mexichem-sube-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588597_2015-01_1.pdf
OHLMEX,OHL México,4/28/2015,"1,545.63","2,238.00",-30.94,"1,915.03",-19.29,,1,,,http://www.elfinanciero.com.mx/economia/mal-trimestre-para-ohl-mexico-cae-26-flujo-operativo.html,http://www.bmv.com.mx/infoifrs/infoifrs_590966_2015-01_1.pdf
PINFRA*,Promotora y Operadora de Infraestructura,4/24/2015,855.19,604.40,41.49,510.85,67.41,1,,,,http://www.elfinanciero.com.mx/empresas/pinfra-invirtio-682-mdp-en-carreteras-durante-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589763_2015-01_1.pdf
TLEVISA,Televisa,4/23/2015,"1,803.26","1,029.25",75.20,"1,183.74",52.34,1,,,,http://www.elfinanciero.com.mx/empresas/tv-de-paga-aporta-56-de-las-ventas-de-televisa-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589489_2015-01_1.pdf
WALMEX,Walmart de México y Centroamérica,4/21/2015,"5,174.00","5,406.29",-4.30,"4,750.00",8.93,,1,,,http://www.elfinanciero.com.mx/empresas/walmart-aumenta-flujo-operativo-del-1t15-por-mejora-en-consumo.html,http://www.bmv.com.mx/infoifrs/infoifrs_588588_2015-01_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 1T15,,,Resultados 1T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,4/27/2015,432.63,419.75,3.07,478.30,-9.55,1,,,,http://www.elfinanciero.com.mx/economia/utilidades-de-banregio-caen-al-primer-trimestre.html,http://www.bmv.com.mx/infingps/infingps_590310_2015-01_1.pdf
GENTERA,Gentera,4/27/2015,729.30,682.20,6.90,621.27,17.39,1,,,,http://www.elfinanciero.com.mx/economia/javier-arrigunaga-se-incorpora-al-consejo-de-grupo-gentera.html,http://www.bmv.com.mx/infinbnc/infinbnc_590309_2015-01_1.pdf
GFNORTE,Grupo Financiero Banorte,4/23/2015,"3,880.12","3,923.00",-1.09,"3,627.59",6.96,,,1,,http://www.elfinanciero.com.mx/economia/banorte-reporta-alza-de-en-ganancias-del-1t15.html,http://www.bmv.com.mx/infingps/infingps_589432_2015-01_1.pdf
GFINBUR,Grupo Financiero Inbursa*,4/28/2015,"4,009.60","3,200.75",25.27,"2,464.97",62.66,1,,,,,http://www.bmv.com.mx/infingps/infingps_591909_2015-01_1.pdf
SANMEX,Grupo Financiero Santander*,4/29/2015,"3,214.80","3,482.75",-7.69,"3,259.16",-1.36,,1,,,http://www.elfinanciero.com.mx/economia/crece-32-beneficio-de-santander-en-1t15.html,http://www.bmv.com.mx/infingps/infingps_590552_2015-01_1.pdf
,,,,,,,,,,,,,
Millones de pesos / ND= No disponible / NA= No aplica / NC= No comparable / * Fecha estimada,,,,,,,,,,,,,
"FUENTE: Consenso entre 10 casas de bolsa: Monex, Ve por Más, Bursamétrica, Banorte-IXE, Accival, GBM, Credit Suisse, Interacciones, entre otras.",,,,,,,,,,,,,
