Compañía,,Reporte,Resultados 1T15,Expectativa 1T15,Variación,Resultados 1T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 1T15 (A),Expectativa 1T15 (B),Variación (%) (A/B),Resultados 1T14 (C ),Variación (%) (A/C),20,6,4,30,NOTA,REPORTE
ALFA,Alfa,4/23/2015,"-1,492.18","1,735.33",NC,"1,984.16",NC,1,,,,http://www.elfinanciero.com.mx/empresas/alimentos-y-petroquimica-nutren-flujo-de-alfa-aumenta-14-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589349_2015-01_1.pdf
ALPEK,Alpek,4/23/2015,723.53,356.50,102.95,418.33,72.96,1,,,,http://www.elfinanciero.com.mx/empresas/venta-de-negocio-de-poliuretano-eleva-ebitda-de-alpek-crece-30-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589341_2015-01_1.pdf
ALSEA*,Alsea,4/29/2015,298.81,162.00,84.45,86.74,244.51,1,,,,http://www.elfinanciero.com.mx/empresas/vips-y-grupo-zena-dan-sabor-a-alsea-sube-100-flujo-operativo.html,http://www.bmv.com.mx/infoifrs/infoifrs_591852_2015-01_1.pdf
AMX,América Móvil,4/23/2015,"9,106.70","13,335.00",-31.71,"13,981.39",-34.87,,1,,,http://www.elfinanciero.com.mx/economia/tipo-de-cambio-pega-a-america-movil-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589497_2015-01_1.pdf
AC,ArcaContinental,4/22/2015,"1,300.48","1,310.57",-0.77,"1,161.52",11.96,,,1,,http://www.elfinanciero.com.mx/empresas/arca-continental-registra-incremento-de-11-de-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588751_2015-01_1.pdf
BOLSA,Bolsa Mexicana de Valores,4/21/2015,192.00,173.67,10.55,173.52,10.65,1,,,,http://www.elfinanciero.com.mx/economia/crecen-28-ingresos-de-la-bmv-en-primer-trimestre-de-2015.html,http://www.bmv.com.mx/infoifrs/infoifrs_588674_2015-01_1.pdf
CEMEX,Cemex,4/23/2015,"-2,006.85","-2,005.35",0.07,"-3,653.23",-45.07,,,1,,http://www.elfinanciero.com.mx/empresas/cemex-es-impulsada-por-recuperacion-en-mexico-y-eu-ebitda-crece.html,http://www.bmv.com.mx/infoifrs/infoifrs_589134_2015-01_1.pdf
KOF,Coca-Cola Femsa,4/29/2015,"2,193.83","2,255.00",-2.71,"2,309.80",-5.02,,,1,,http://www.elfinanciero.com.mx/empresas/coca-cola-femsa-baja-su-flujo-operativo-en-1t15-continua-impacto-negativo-por-venezuela.html,http://www.bmv.com.mx/infoifrs/infoifrs_591403_2015-01_1.pdf
COMERCI,Controladora Comercial Mexicana,4/29/2015,773.35,802.33,-3.61,450.59,71.63,,1,,,http://www.elfinanciero.com.mx/empresas/la-comer-incrementa-solo-su-flujo-operativo-durante-el-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_592004_2015-01_1.pdf
FEMSA,Femsa,4/30/2015,"4,349.12","2,463.60",76.54,"3,778.12",15.11,1,,,,http://www.elfinanciero.com.mx/empresas/femsa-registra-debil-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_593143_2015-01_1.pdf
LAB,Genomma Lab Internacional,4/29/2015,138.01,175.38,-21.31,153.40,-10.03,,1,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-aumenta-19-ebitda-en-1t15-favorecen-operaciones-internacionales.html,http://www.bmv.com.mx/infoifrs/infoifrs_592191_2015-01_1.pdf
GRUMA,Gruma,4/22/2015,982.54,856.75,14.68,621.94,57.98,1,,,,http://www.elfinanciero.com.mx/empresas/gruma-aumenta-12-ventas-y-16-flujo-operativo-del-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588947_2015-01_1.pdf
GAP,Grupo Aeroportuario del Pacífico,4/23/2015,667.89,645.80,3.42,649.45,2.84,1,,,,http://www.elfinanciero.com.mx/empresas/reporta-gap-alza-del-12-en-uafida-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589357_2015-01_1.pdf
ASUR,Grupo Aeroportuario del Sureste,4/22/2015,744.00,749.50,-0.73,634.37,17.28,,,1,,http://www.elfinanciero.com.mx/empresas/utilidad-neta-de-asur-crece-17-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588763_2015-01_1.pdf
