Compañía,,Reporte,Resultados 2T15,Expectativa 2T15,Variación,Resultados 2T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
ICH,Industrias CH,23/07/2015,"7,769","8,101",-4.10,"7,390",5.13,,1,,,http://www.elfinanciero.com.mx/empresas/electricidad-y-acero-barato-impulsan-a-ich-flujo-sube-47.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611662_2015-02_1.pdf
PE&OLES,Industrias Peñoles,4/8/2015,"15,832","16,330",-3.05,"15,477",2.29,,1,,,http://www.elfinanciero.com.mx/empresas/dolar-caro-amortigua-caida-en-flujo-de-penoles-baja-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_614069_2015-02_1.pdf
KIMBER,Kimberly Clark de México,23/07/2015,"8,027","7,809",2.79,"7,282",10.23,,,1,,http://www.elfinanciero.com.mx/empresas/alza-en-precios-impulsa-a-kimberly-clark-en-2t15-ingresos-suben-10.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611555_2015-02_1.pdf
LALA,Lala,28/07/2015,"11,847","11,726",1.03,"10,973",7.97,,,1,,http://www.elfinanciero.com.mx/empresas/lala-reporta-aumento-de-en-ventas-y-24-en-flujo-operativo-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612684_2015-02_1.pdf
LIVEPOL,Liverpool,28/07/2015,"22,066","21,747",1.47,"19,720",11.90,,,1,,http://www.elfinanciero.com.mx/empresas/liverpool-crece-11-sus-ventas-y-15-su-flujo-en-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611957_2015-02_1.pdf
MEXCHEM,Mexichem,20/07/2015,"23,787","22,306",6.64,"18,915",25.76,1,,,,http://www.elfinanciero.com.mx/empresas/negocios-europeos-impulsan-a-mexichem-crece-flujos-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610225_2015-02_1.pdf
OHLMEX,OHL México,22/07/2015,"2,484","3,537",-29.77,"3,025",-17.88,,1,,,http://www.elfinanciero.com.mx/empresas/peaje-unico-negocio-de-ohl-mexico-que-gana.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611098_2015-02_1.pdf
PINFRA*,Promotora y Operadora de Infraestructura,28/07/2015,"2,631","1,744",50.86,"1,451",81.32,1,,,,http://www.elfinanciero.com.mx/empresas/ingresos-de-pinfra-crecen-81-por-construccion-de-nuevas-concesiones.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611562_2015-02_1.pdf
TLEVISA,Televisa,6/7/2015,"20,986","21,033",-0.22,"19,344",8.49,,,1,,http://www.elfinanciero.com.mx/empresas/elecciones-y-ausencia-de-mundial-pegan-a-publicidad-de-televisa.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_608273_2015-02_1.pdf
WALMEX,Walmart de México y Centroamérica,21/07/2015,"113,550","113,781",-0.20,"103,300",9.92,,,1,,http://www.elfinanciero.com.mx/empresas/walmart-aumenta-flujo-operativo-del-2t15-su-utilidad-neta-cae-35.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610554_2015-02_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 2T15,,,Resultados 2T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,27/07/2015,"1,183","1,609",-26.48,992,19.25,,1,,,http://www.elfinanciero.com.mx/economia/utilidades-de-banregio-ascienden-a-436-mdp-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_611975_2015-02_1.pdf
GENTERA,Gentera,28/07/2015,"3,697","3,935",-6.05,"3,309",11.73,,1,,,http://www.elfinanciero.com.mx/economia/crecen-10-utilidades-de-gentera-en-primer-semestre-del-ano.html,http://www.bmv.com.mx/docs-pub/infinbnc/infinbnc_612695_2015-02_1.pdf
GFNORTE,Grupo Financiero Banorte,23/07/2015,"15,259","15,192",0.44,"14,669",4.02,,,1,,http://www.elfinanciero.com.mx/economia/utilidades-de-banorte-crecen-en-primer-semestre-del-ano.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_611426_2015-02_1.pdf
GFINBUR,Grupo Financiero Inbursa*,28/07/2015,"4,331","4,124",5.02,"4,704",-7.93,1,,,,http://www.elfinanciero.com.mx/economia/utilidades-de-gf-inbursa-crecen-24-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_612038_2015-02_1.pdf
SANMEX,Grupo Financiero Santander*,29/07/2015,"15,660","14,371",8.97,"14,543",7.68,1,,,,http://www.elfinanciero.com.mx/economia/aumenta-santander-mexico-beneficio-en-primer-semestre.html,http://www.bmv.com.mx/docs-pub/infingps/infingps_613297_2015-02_1.pdf
,,,,,,,,,,,,,
Millones de pesos / ND= No disponible / NA= No aplica / NC= No comparable / * Fecha estimada,,,,,,,,,,,,,
"FUENTE: Consenso entre 10 casas de bolsa: Monex, Ve por Más, Bursamétrica, Banorte-IXE, Accival, GBM, Credit Suisse, Interacciones, entre otras.",,,,,,,,,,,,,
