Compañía,,Reporte,Resultados 1T15,Expectativa 1T15,Variación,Resultados 1T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 1T15 (A),Expectativa 1T15 (B),Variación (%) (A/B),Resultados 1T14 (C ),Variación (%) (A/C),17,3,10,30,NOTA,REPORTE
ALFA,Alfa,4/23/2015,"7,837.00","7,212.40",8.66,"6,073.00",29.05,1,,,,http://www.elfinanciero.com.mx/empresas/alimentos-y-petroquimica-nutren-flujo-de-alfa-aumenta-14-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589349_2015-01_1.pdf
ALPEK,Alpek,4/23/2015,"2,088.25","1,418.60",47.20,"1,393.00",49.91,1,,,,http://www.elfinanciero.com.mx/empresas/venta-de-negocio-de-poliuretano-eleva-ebitda-de-alpek-crece-30-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589341_2015-01_1.pdf
ALSEA*,Alsea,4/29/2015,850.00,836.57,1.61,423.80,100.57,,,1,,http://www.elfinanciero.com.mx/empresas/vips-y-grupo-zena-dan-sabor-a-alsea-sube-100-flujo-operativo.html,http://www.bmv.com.mx/infoifrs/infoifrs_591852_2015-01_1.pdf
AMX,América Móvil,4/23/2015,"68,200.00","68,543.25",-0.50,"70,457.00",-3.20,,,1,,http://www.elfinanciero.com.mx/economia/tipo-de-cambio-pega-a-america-movil-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589497_2015-01_1.pdf
AC,ArcaContinental,4/22/2015,"2,961.00","2,891.29",2.41,"2,654.00",11.57,,,1,,http://www.elfinanciero.com.mx/empresas/arca-continental-registra-incremento-de-11-de-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588751_2015-01_1.pdf
BOLSA,Bolsa Mexicana de Valores,4/21/2015,311.00,243.00,27.98,234.00,32.91,1,,,,http://www.elfinanciero.com.mx/economia/crecen-28-ingresos-de-la-bmv-en-primer-trimestre-de-2015.html,http://www.bmv.com.mx/infoifrs/infoifrs_588674_2015-01_1.pdf
CEMEX,Cemex,4/23/2015,"8,567.82","8,123.31",5.47,"7,072.39",21.14,1,,,,http://www.elfinanciero.com.mx/empresas/cemex-es-impulsada-por-recuperacion-en-mexico-y-eu-ebitda-crece.html,http://www.bmv.com.mx/infoifrs/infoifrs_589134_2015-01_1.pdf
KOF,Coca-Cola Femsa,4/29/2015,"6,358.00","6,379.00",-0.33,"6,767.00",-6.04,,,1,,http://www.elfinanciero.com.mx/empresas/coca-cola-femsa-baja-su-flujo-operativo-en-1t15-continua-impacto-negativo-por-venezuela.html,http://www.bmv.com.mx/infoifrs/infoifrs_591403_2015-01_1.pdf
COMERCI,Controladora Comercial Mexicana,4/29/2015,965.00,982.00,-1.73,955.00,1.05,,,1,,http://www.elfinanciero.com.mx/empresas/la-comer-incrementa-solo-su-flujo-operativo-durante-el-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_592004_2015-01_1.pdf
FEMSA,Femsa,4/30/2015,"8,699.82","8,646.50",0.62,"8,743.51",-0.50,,,1,,http://www.elfinanciero.com.mx/empresas/femsa-registra-debil-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_593143_2015-01_1.pdf
LAB,Genomma Lab Internacional,4/29/2015,449.50,391.26,14.89,376.40,19.42,1,,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-aumenta-19-ebitda-en-1t15-favorecen-operaciones-internacionales.html,http://www.bmv.com.mx/infoifrs/infoifrs_592191_2015-01_1.pdf
GRUMA,Gruma,4/22/2015,"1,995.00","1,896.86",5.17,"1,726.00",15.59,1,,,,http://www.elfinanciero.com.mx/empresas/gruma-aumenta-12-ventas-y-16-flujo-operativo-del-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588947_2015-01_1.pdf
GAP,Grupo Aeroportuario del Pacífico,4/23/2015,"1,093.01","1,075.96",1.58,978.29,11.73,,,1,,http://www.elfinanciero.com.mx/empresas/reporta-gap-alza-del-12-en-uafida-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589357_2015-01_1.pdf
ASUR,Grupo Aeroportuario del Sureste,4/22/2015,"1,143.00","1,106.29",3.32,951.00,20.19,1,,,,http://www.elfinanciero.com.mx/empresas/utilidad-neta-de-asur-crece-17-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588763_2015-01_1.pdf
BIMBO,Grupo Bimbo,4/23/2015,"4,227.00","3,778.17",11.88,"2,955.00",43.05,1,,,,http://www.elfinanciero.com.mx/empresas/dolar-y-canada-bread-impulsan-desempeno-de-bimbo-aumenta-43-flujo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589478_2015-01_1.pdf
GCARSO,Grupo Carso,4/23/2015,"2,761.65","2,698.80",2.33,"2,491.77",10.83,,,1,,http://www.elfinanciero.com.mx/empresas/mayor-consumo-y-telecom-eleva-flujo-de-gcarso-sube-10-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589330_2015-01_1.pdf
ELEKTRA,Grupo Elektra,4/21/2015,"3,165.00","2,567.20",23.29,"2,613.00",21.13,1,,,,http://www.elfinanciero.com.mx/empresas/elektra-aumenta-21-su-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588602_2015-01_1.pdf
GMEXICO*,Grupo México,4/30/2015,"12,578.00","13,081.09",-3.85,"12,065.76",4.25,,1,,,http://www.elfinanciero.com.mx/empresas/flujo-de-gmexico-se-opaca-por-precio-del-cobre-cae.html,http://www.bmv.com.mx/infoifrs/infoifrs_590563_2015-01_1.pdf
