Compañía,,Reporte,Resultados 4T15,Expectativa 4T15,Variación,Resultados 4T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 4T15 (A),Expectativa 4T15 (B),Variación (%) (A/B),Resultados 4T14 (C ),Variación (%) (A/C),11,3,2,16,NOTA,REPORTE
ALFA,Alfa,10 Febrero,"10,809","8,272",30.67,"7,256",48.97,1,,,,http://www.elfinanciero.com.mx/empresas/alfa-ve-aumento-de-flujo-operativo-en-todos-sus-negocios-menos-newpek.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647045_2015-04_1.pdf
ALSEA,Alsea,11 Febrero,"1,367","1,285",6.38,"1,045",30.81,1,,,,http://www.elfinanciero.com.mx/empresas/alsea-sazona-resultados-en-4t15-crecen-flujos-31-y-ventas-13.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647449_2015-04_1.pdf
AMX,América Móvil,9 Febrero,"63,875","68,028",-6.10,"67,667",-5.60,,1,,,http://www.elfinanciero.com.mx/empresas/flujo-operativo-de-america-movil-cae.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646954_2015-04_1.pdf
AC,ArcaContinental,19 Febrero,"4,742","4,450",6.56,"3,427",38.37,1,,,,http://www.elfinanciero.com.mx/empresas/lindley-impulsa-a-arca-continental-en-4t15-ventas-crecen-39.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_648684_2015-04_1.pdf
CEMEX,Cemex,4 Febrero,"11,119","10,939",1.64,"9,723",14.36,,,1,,http://www.elfinanciero.com.mx/empresas/cemex-gana-por-primera-vez-en-anos-suma-utilidad-de-75-mdd-en-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646119_2015-04_1.pdf
KOF,Coca-Cola Femsa,23 Febrero,,"8,556",,"8,099",,,,,,,
FEMSA,Femsa,24 Febrero,,"14,119",,"12,300",,,,,,,
LAB,Genomma Lab Internacional,26 Febrero,,374,,703,,,,,,,
GRUMA,Gruma,25 Febrero,,"2,421",,"1,986",,,,,,,
OMA,Grupo Aeroportuario del Centro Norte,29 Febrero,,584,,483,,,,,,,
GAP,Grupo Aeroportuario del Pacífico,25 Febrero,,"1,361",,926,,,,,,,
ASUR,Grupo Aeroportuario del Sureste,22 Febrero,"1,126","1,064",5.83,910,23.74,1,,,,http://www.elfinanciero.com.mx/empresas/asur-aumenta-24-flujo-operativo-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649170_2015-04_1.pdf
BIMBO,Grupo Bimbo,25 Febrero,,"6,368",,"5,300",,,,,,,
GCARSO,Grupo Carso,25 Febrero,,"3,308",,"3,396",,,,,,,
ELEKTRA,Grupo Elektra,24 Febrero,,"2,827",,"2,298",,,,,,,
GMEXICO*,Grupo México,10 Febrero,789,648,21.76,"1,044",-24.43,1,,,,http://www.elfinanciero.com.mx/empresas/cae-24-flujo-de-gmexico-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647242_2015-04_1.pdf
SIMEC,Grupo Simec,26 Febrero,,624,,-249,,,,,,,
ICA,ICA,26 Febrero,,"1,236",,"1,510",,,,,,,
IENOVA,IEnova,23 Febrero,,"1,339",,901,,,,,,,
ICH,Industrias CH,26 Febrero,,824,,652,,,,,,,
PE&OLES,Industrias Peñoles,1 Marzo,,"3,644",,"3,434",,,,,,,
KIMBER,Kimberly Clark de México,21 Enero,"2,377","2,344",1.41,"1,907",24.65,,,1,,http://www.elfinanciero.com.mx/empresas/kimberly-crece-25-ebitda-y-11-ventas-en-4t15-por-aumento-en-precios.html,http://www.bmv.com.mx/docs-pub/eventore/eventore_643775_2.pdf
LACOMER,La Comer,26 Febrero,,"1,114",,"1,101",,,,,,,
LALA,Lala,22 Febrero,"1,802","1,738",3.68,"1,462",23.26,1,,,,http://www.elfinanciero.com.mx/empresas/operaciones-en-mexico-y-nicaragueense-eskimo-impulsan-a-lala-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649155_2015-04_1.pdf
LIVEPOL,Liverpool,25 Febrero,,"6,713",,"6,015",,,,,,,
MEXCHEM,Mexichem,24 Febrero,,"3,154",,"2,313",,,,,,,
NEMAK,Nemak,10 Febrero,"2,755","2,936",-6.16,"2,361",16.69,,1,,,http://www.elfinanciero.com.mx/empresas/productos-sofisticados-impulsa-flujo-de-nemak-aumenta.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647041_2015-04_1.pdf
OHLMEX,OHL México,22 Febrero,"4,733","3,683",28.51,"4,053",16.78,1,,,,http://www.elfinanciero.com.mx/empresas/suben-26-ingresos-por-peaje-de-ohl-mexico.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649155_2015-04_1.pdf
PINFRA,Promotora y Operadora de Infraestructura,24 Febrero,,"1,340",,"1,140",,,,,,,
SITES,Telesites,25 Febrero,,568,,"1,776",,,,,,,
TLEVISA,Televisa,25 Febrero,,"9,878",,"8,929",,,,,,,
WALMEX,Walmart de México y Centroamérica,16 Febrero,"13,978","15,446",-9.50,"14,889",-6.12,,1,,,http://www.elfinanciero.com.mx/empresas/wal-mart-crece-13-sus-ventas-pero-baja-sus-flujos-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_648088_2015-04D_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 4T15,,,Resultados 4T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,25 Enero,"2,308",545,323.48,"2,215",4.21,1,,,,,http://www.bmv.com.mx/docs-pub/infingps/infingps_645275_2015-04_1.pdf
GENTERA,Gentera,23 Febrero,,"1,284",,,,,,,,,
