Compañía,,Reporte,Resultados 2T15,Expectativa 2T15,Variación,Resultados 2T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 2T15 (A),Expectativa 2T15 (B),Variación (%) (A/B),Resultados 2T14 (C ),Variación (%) (A/C),17,10,3,30,NOTA,REPORTE
ALFA,Alfa,21/07/2015,"2,811","2,406",16.83,"1,915",46.79,1,,,,http://www.elfinanciero.com.mx/empresas/carne-y-plastico-dan-color-a-flujo-de-alfa-sube-28-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610571_2015-02_1.pdf
ALPEK,Alpek,21/07/2015,"1,273",590,115.76,518,145.75,1,,,,http://www.elfinanciero.com.mx/empresas/revaluacion-del-paraxileno-dispara-flujo-de-alpek-aumenta-55-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610563_2015-02_1.pdf
ALSEA*,Alsea,22/07/2015,93,209,-55.50,88,5.68,,1,,,http://www.elfinanciero.com.mx/empresas/adquisiciones-alimentan-a-alsea-en-2t15-ventas-aumentan-49.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611021_2015-02_1.pdf
AMX,América Móvil,16/07/2015,"14,048","17,269",-18.65,"16,721",-15.99,,1,,,http://www.elfinanciero.com.mx/empresas/regulaciones-y-competencia-en-mexico-pegan-a-amovil-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609820_2015-02_1.pdf
AC,ArcaContinental,15/07/2015,"2,203","2,077",6.07,"1,935",13.85,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-aumenta-12-su-flujo-operativo-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609493_2015-02_1.pdf
BOLSA,Bolsa Mexicana de Valores,21/07/2015,190,196,-3.06,184,3.26,,1,,,http://www.elfinanciero.com.mx/economia/ingresos-de-bolsa-crecen-26-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610652_2015-02_1.pdf
CEMEX,Cemex,22/07/2015,"1,759",-156,NC,986,78.40,1,,,,http://www.elfinanciero.com.mx/empresas/tipo-de-cambio-impacta-a-cemex-ebitda-crece-y-ventas-caen.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610724_2015-02_1.pdf
KOF,Coca-Cola Femsa,23/07/2015,"2,688","2,621",2.56,"2,679",0.34,,,1,,http://www.elfinanciero.com.mx/empresas/ventas-de-coca-cola-femsa-caen-11-en-2t14.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611151_2015-02_1.pdf
COMERCI,Controladora Comercial Mexicana,22/07/2015,498,566,-12.01,565,-11.86,,1,,,http://www.elfinanciero.com.mx/empresas/la-comer-disminuye-sus-ventas-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611064_2015-02_1.pdf
FEMSA,Femsa,23/07/2015,"3,872","3,218",20.32,"3,018",28.30,1,,,,http://www.elfinanciero.com.mx/empresas/femsa-aumenta-ventas-en-2t15-flujo-operativo-cae.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611328_2015-02_1.pdf
LAB,Genomma Lab Internacional,23/07/2015,359,321,11.84,308,16.56,1,,,,http://www.elfinanciero.com.mx/empresas/mexico-enferma-ventas-de-genomma-lab-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611476_2015-02_1.pdf
GRUMA,Gruma,22/07/2015,"1,081","1,136",-4.84,"1,135",-4.76,,1,,,http://www.elfinanciero.com.mx/empresas/gruma-gana-con-el-dolar-caro-sube-16-ventas-y-21-su-flujo-del-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610988_2015-02_1.pdf
GAP,Grupo Aeroportuario del Pacífico,23/07/2015,543,635,-14.49,431,25.99,,1,,,http://www.elfinanciero.com.mx/empresas/gap-registra-alza-de-45-en-flujo-operativo-de-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611157_2015-02_1.pdf
ASUR,Grupo Aeroportuario del Sureste,23/07/2015,733,680,7.79,555,32.07,1,,,,http://www.elfinanciero.com.mx/empresas/asur-eleva-su-flujo-operativo-29-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611166_2015-02_1.pdf
BIMBO,Grupo Bimbo,21/07/2015,"1,747","1,795",-2.67,"1,612",8.37,,,1,,http://www.elfinanciero.com.mx/empresas/bimbo-supera-estimados-en-2t15-crece-21-flujo-operativo.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610586_2015-02_1.pdf
GCARSO,Grupo Carso,23/07/2015,"1,618","1,534",5.48,"1,275",26.90,1,,,,http://www.elfinanciero.com.mx/empresas/petroleo-y-automotriz-prenden-flujo-de-grupo-carso-sube-25-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611316_2015-02_1.pdf
ELEKTRA,Grupo Elektra,23/07/2015,"-1,423",-301,372.76,"-1,114",27.74,1,,,,http://www.elfinanciero.com.mx/empresas/elektra-disminuye-sus-ingresos-e-incrementa-su-perdida-neta-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611341_2015-02_1.pdf
GMEXICO*,Grupo México,28/07/2015,"5,716","6,049",-5.51,"7,267",-21.34,,1,,,http://www.elfinanciero.com.mx/empresas/menores-precios-del-cobre-y-fortaleza-del-dolar-funden-flujo-de-gmexico-cae-12-en-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612886_2015-02_1.pdf
ICA,ICA,28/07/2015,-567,-215,163.72,-149,280.54,1,,,,http://www.elfinanciero.com.mx/empresas/ventas-de-ica-disminuyen-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612208_2015-02_1.pdf
IENOVA,Ienova,23/07/2015,571,622,-8.20,488,17.01,,1,,,http://www.elfinanciero.com.mx/empresas/nuevos-gasoductos-salvan-flujo-de-ienova-sube-18-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612882_2015-02_1.pdf
ICH,Industrias CH,23/07/2015,501,374,33.96,365,37.26,1,,,,http://www.elfinanciero.com.mx/empresas/electricidad-y-acero-barato-impulsan-a-ich-flujo-sube-47.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611662_2015-02_1.pdf
PE&OLES,Industrias Peñoles,4/8/2015,553,992,-44.29,388,42.42,,1,,,http://www.elfinanciero.com.mx/empresas/dolar-caro-amortigua-caida-en-flujo-de-penoles-baja-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_614069_2015-02_1.pdf
KIMBER,Kimberly Clark de México,23/07/2015,"1,084",979,10.73,925,17.19,1,,,,http://www.elfinanciero.com.mx/empresas/alza-en-precios-impulsa-a-kimberly-clark-en-2t15-ingresos-suben-10.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611555_2015-02_1.pdf
LALA,Lala,28/07/2015,990,923,7.26,832,18.99,1,,,,http://www.elfinanciero.com.mx/empresas/lala-reporta-aumento-de-en-ventas-y-24-en-flujo-operativo-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_612684_2015-02_1.pdf
