Compañía,,Reporte,Resultados 1T15,Expectativa 1T15,Variación,Resultados 1T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 1T15 (A),Expectativa 1T15 (B),Variación (%) (A/B),Resultados 1T14 (C ),Variación (%) (A/C),7,5,18,30,NOTA,REPORTE
ALFA,Alfa,4/23/2015,"61,041.27","61,708.40",-1.08,"51,548.40",18.42,,,1,,http://www.elfinanciero.com.mx/empresas/alimentos-y-petroquimica-nutren-flujo-de-alfa-aumenta-14-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589349_2015-01_1.pdf
ALPEK,Alpek,4/23/2015,"19,721.02","19,458.80",1.35,"20,858.53",-5.45,,,1,,http://www.elfinanciero.com.mx/empresas/venta-de-negocio-de-poliuretano-eleva-ebitda-de-alpek-crece-30-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589341_2015-01_1.pdf
ALSEA*,Alsea,4/29/2015,"7,344.23","7,263.29",1.11,"3,992.04",83.97,,,1,,http://www.elfinanciero.com.mx/empresas/vips-y-grupo-zena-dan-sabor-a-alsea-sube-100-flujo-operativo.html,http://www.bmv.com.mx/infoifrs/infoifrs_591852_2015-01_1.pdf
AMX,América Móvil,4/23/2015,"220,036.00","214,496.50",2.58,"195,438.82",12.59,,,1,,http://www.elfinanciero.com.mx/economia/tipo-de-cambio-pega-a-america-movil-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589497_2015-01_1.pdf
AC,ArcaContinental,4/22/2015,"15,273.00","14,648.50",4.26,"13,370.00",14.23,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-registra-incremento-de-11-de-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588751_2015-01_1.pdf
BOLSA,Bolsa Mexicana de Valores,4/21/2015,621.00,600.75,3.37,483.20,28.52,1,,,,http://www.elfinanciero.com.mx/economia/crecen-28-ingresos-de-la-bmv-en-primer-trimestre-de-2015.html,http://www.bmv.com.mx/infoifrs/infoifrs_588674_2015-01_1.pdf
CEMEX,Cemex,4/23/2015,"51,236.10","53,449.60",-4.14,"46,985.00",9.05,,1,,,http://www.elfinanciero.com.mx/empresas/cemex-es-impulsada-por-recuperacion-en-mexico-y-eu-ebitda-crece.html,http://www.bmv.com.mx/infoifrs/infoifrs_589134_2015-01_1.pdf
KOF,Coca-Cola Femsa,4/29/2015,"34,373.67","37,400.25",-8.09,"38,707.67",-11.20,,1,,,http://www.elfinanciero.com.mx/empresas/coca-cola-femsa-baja-su-flujo-operativo-en-1t15-continua-impacto-negativo-por-venezuela.html,http://www.bmv.com.mx/infoifrs/infoifrs_591403_2015-01_1.pdf
COMERCI,Controladora Comercial Mexicana,4/29/2015,"10,971.25","10,829.00",1.31,"10,615.57",3.35,,,1,,http://www.elfinanciero.com.mx/empresas/la-comer-incrementa-solo-su-flujo-operativo-durante-el-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_592004_2015-01_1.pdf
FEMSA,Femsa,4/30/2015,"65,199.33","64,443.86",1.17,"64,227.78",1.51,,,1,,http://www.elfinanciero.com.mx/empresas/femsa-registra-debil-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_593143_2015-01_1.pdf
LAB,Genomma Lab Internacional,4/29/2015,"2,768.57","2,530.50",9.41,"2,438.16",13.55,1,,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-aumenta-19-ebitda-en-1t15-favorecen-operaciones-internacionales.html,http://www.bmv.com.mx/infoifrs/infoifrs_592191_2015-01_1.pdf
GRUMA,Gruma,4/22/2015,"13,522.00","13,249.67",2.06,"12,066.00",12.07,,,1,,http://www.elfinanciero.com.mx/empresas/gruma-aumenta-12-ventas-y-16-flujo-operativo-del-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588947_2015-01_1.pdf
GAP,Grupo Aeroportuario del Pacífico,4/23/2015,"1,742.28","1,701.99",2.37,"1,432.33",21.64,,,1,,http://www.elfinanciero.com.mx/empresas/reporta-gap-alza-del-12-en-uafida-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589357_2015-01_1.pdf
ASUR,Grupo Aeroportuario del Sureste,4/22/2015,"1,797.00","1,731.75",3.77,"1,383.00",29.93,1,,,,http://www.elfinanciero.com.mx/empresas/utilidad-neta-de-asur-crece-17-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588763_2015-01_1.pdf
BIMBO,Grupo Bimbo,4/23/2015,"49,843.05","48,580.50",2.60,"41,558.38",19.94,,,1,,http://www.elfinanciero.com.mx/empresas/dolar-y-canada-bread-impulsan-desempeno-de-bimbo-aumenta-43-flujo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589478_2015-01_1.pdf
GCARSO,Grupo Carso,4/23/2015,"20,510.62","20,359.60",0.74,"18,813.67",9.02,,,1,,http://www.elfinanciero.com.mx/empresas/mayor-consumo-y-telecom-eleva-flujo-de-gcarso-sube-10-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589330_2015-01_1.pdf
ELEKTRA,Grupo Elektra,4/21/2015,"19,099.00","19,117.25",-0.10,"17,189.00",11.11,,,1,,http://www.elfinanciero.com.mx/empresas/elektra-aumenta-21-su-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588602_2015-01_1.pdf
GMEXICO*,Grupo México,4/30/2015,"31,929.00","32,518.02",-1.81,"28,523.34",11.94,,,1,,http://www.elfinanciero.com.mx/empresas/flujo-de-gmexico-se-opaca-por-precio-del-cobre-cae.html,http://www.bmv.com.mx/infoifrs/infoifrs_590563_2015-01_1.pdf
ICA,ICA,4/30/2015,"8,822.24","9,160.33",-3.69,"7,979.86",10.56,,1,,,http://www.elfinanciero.com.mx/empresas/construccion-en-el-exterior-apoya-resultados-de-ica-ingresos-crecen-11-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_591864_2015-01_1.pdf
IENOVA,Ienova,4/22/2015,"2,499.00","3,080.46",-18.88,"2,634.48",-5.14,,1,,,http://www.elfinanciero.com.mx/empresas/bajo-precio-de-electricidad-entumece-flujo-de-ienova-sube-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589060_2015-01_1.pdf
ICH,Industrias CH,4/30/2015,"7,892.17","8,095.60",-2.51,"8,035.63",-1.79,,,1,,http://www.elfinanciero.com.mx/empresas/mayor-venta-de-acero-comercial-impulsa-a-ich-flujo-aumenta-39.html,http://www.bmv.com.mx/infoifrs/infoifrs_593832_2015-01_1.pdf
PE&OLES,Industrias Peñoles,4/30/2015,"15,585.54","15,558.00",0.18,"14,743.80",5.71,,,1,,http://www.elfinanciero.com.mx/empresas/mayor-extraccion-de-oro-y-plata-impulsan-a-penoles-flujo-aumenta-13.html,http://www.bmv.com.mx/infoifrs/infoifrs_592859_2015-01_1.pdf
KIMBER,Kimberly Clark de México,4/23/2015,"7,764.00","7,592.00",2.27,"7,262.00",6.91,,,1,,http://www.elfinanciero.com.mx/empresas/kimberly-clark-de-mexico-aumenta-ventas-y-ebitda-en-1t15.html,http://www.kimberly-clark.com.mx/informacion_financiera/boletines/PR1T15_final.pdf
LALA,Lala,4/28/2015,"11,630.43","11,608.86",0.19,"11,107.59",4.71,,,1,,http://www.elfinanciero.com.mx/empresas/lala-aumenta-25-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_590955_2015-01_1.pdf
LIVEPOL,Liverpool,4/24/2015,"16,963.14","16,975.17",-0.07,"15,279.48",11.02,,,1,,http://www.elfinanciero.com.mx/empresas/liverpool-sube-19-su-flujo-operativo-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589774_2015-01_1.pdf
MEXCHEM,Mexichem,4/21/2015,"21,979.97","20,936.19",4.99,"17,563.22",25.15,1,,,,http://www.elfinanciero.com.mx/empresas/eu-e-inglaterra-sostienen-ebitda-de-mexichem-sube-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_588597_2015-01_1.pdf
OHLMEX,OHL México,4/28/2015,"3,602.74","5,356.67",-32.74,"4,660.23",-22.69,,1,,,http://www.elfinanciero.com.mx/economia/mal-trimestre-para-ohl-mexico-cae-26-flujo-operativo.html,http://www.bmv.com.mx/infoifrs/infoifrs_590966_2015-01_1.pdf
PINFRA*,Promotora y Operadora de Infraestructura,4/24/2015,"2,061.29","1,775.33",16.11,"1,573.58",30.99,1,,,,http://www.elfinanciero.com.mx/empresas/pinfra-invirtio-682-mdp-en-carreteras-durante-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589763_2015-01_1.pdf
TLEVISA,Televisa,4/23/2015,"19,859.36","19,162.17",3.64,"16,924.05",17.34,1,,,,http://www.elfinanciero.com.mx/empresas/tv-de-paga-aporta-56-de-las-ventas-de-televisa-en-1t15.html,http://www.bmv.com.mx/infoifrs/infoifrs_589489_2015-01_1.pdf
WALMEX,Walmart de México y Centroamérica,4/21/2015,"111,723.00","111,423.50",0.27,"102,229.00",9.29,,,1,,http://www.elfinanciero.com.mx/empresas/walmart-aumenta-flujo-operativo-del-1t15-por-mejora-en-consumo.html,http://www.bmv.com.mx/infoifrs/infoifrs_588588_2015-01_1.pdf
,,,,,,,,,,,,,
titulo,Grupos Financieros,,,,,,,,,,,,
desctitulo,"Debido a los diferentes rubros que consideran los departamentos de análisis consultados, no se tomaron en cuenta las expectativas para grupos financieros.",,,,,,,,,,,,
nuevatabla,,,,,,,,,,,,,
Clave,Compañia,Reporte,Resultados 1T15,,,Resultados 1T14,Variación,,,,,,
GFREGIO,Banregio Grupo Financiero,4/27/2015,"2,011.77","1,504.33",33.73,"1,838.11",9.45,1,,,,http://www.elfinanciero.com.mx/economia/utilidades-de-banregio-caen-al-primer-trimestre.html,http://www.bmv.com.mx/infingps/infingps_590310_2015-01_1.pdf
