Compañía,,Reporte,Resultados 3T15,Expectativa 3T15,Variación,Resultados 3T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 3T15 (A),Expectativa 3T15 (B),Variación (%) (A/B),Resultados 3T14 (C ),Variación (%) (A/C),11,9,15,35,NOTA,REPORTE
ALFA,Alfa,20/10/2015,"67,353","67,055",0.44,"61,131",10.18,,,1,,http://www.elfinanciero.com.mx/empresas/alfa-gana-con-petroquimica-y-automotriz-flujo-aumenta.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627198_2015-03_1.pdf
ALSEA,Alsea,28/10/2015,"8,224","7,796",5.49,"5,701",44.26,1,,,,http://www.elfinanciero.com.mx/empresas/alsea-incrementa-54-su-flujo-operativo-en-3t15-utilidad-cae-38.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629677_2015-03_1.pdf
AMX,América Móvil,19/10/2015,"223,604","226,265",-1.18,"220,884",1.23,,,1,,http://www.elfinanciero.com.mx/empresas/amovil-aumenta-ingresos-pero-pierde-884-mdp-en-el-3t15.html,https://www.bmv.com.mx/docs-pub/eventore/eventore_626966_1.pdf
AC,ArcaContinental,23/10/2015,"20,695","18,841",9.84,"16,429",25.97,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-crece-ventas-y-flujo-operativo-26-durante-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628098_2015-03_1.pdf
CEMEX,Cemex,22/10/2015,"60,572","62,895",-3.69,"53,147",13.97,,1,,,http://www.elfinanciero.com.mx/empresas/cemex-vende-activos-por-620-mdd-para-recuperar-grado-de-inversion.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627741_2015-03_1.pdf
KOF,Coca-Cola Femsa,28/10/2015,"37,661","37,892",-0.61,"41,781",-9.86,,,1,,http://www.elfinanciero.com.mx/empresas/ganancia-de-coca-cola-femsa-cae-40-en-el-tercer-trimestre.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629262_2015-03_1.pdf
COMERCI*,Controladora Comercial Mexicana,22/10/2015,"12,827","12,847",-0.16,"12,746",0.64,,,1,,http://www.elfinanciero.com.mx/empresas/la-comer-registra-caida-de-en-su-flujo-operativo-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627938_2015-03_1.pdf
FEMSA,Femsa,28/10/2015,"78,763","77,813",1.22,"72,391",8.80,,,1,,http://www.elfinanciero.com.mx/empresas/oxxo-inyecta-gas-a-femsa-en-3t15-suben-ingresos.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629693_2015-03_1.pdf
LAB,Genomma Lab Internacional,28/10/2015,"2,264","2,798",-19.09,"3,360",-21.90,,1,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-sin-sanar-en-mexico-cae-utilidad-61-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629795_2015-03_1.pdf
