Compañía,,Reporte,Resultados 3T15,Expectativa 3T15,Variación,Resultados 3T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 3T15 (A),Expectativa 3T15 (B),Variación (%) (A/B),Resultados 3T14 (C ),Variación (%) (A/C),14,15,6,35,NOTA,REPORTE
ALFA,Alfa,20/10/2015,"3,597","1,853",94.12,721,398.89,1,,,,http://www.elfinanciero.com.mx/empresas/alfa-gana-con-petroquimica-y-automotriz-flujo-aumenta.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627198_2015-03_1.pdf
ALSEA,Alsea,28/10/2015,120,179,-32.96,195,-38.46,,1,,,http://www.elfinanciero.com.mx/empresas/alsea-incrementa-54-su-flujo-operativo-en-3t15-utilidad-cae-38.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629677_2015-03_1.pdf
AMX,América Móvil,19/10/2015,"-2,884","9,516",nd,"10,120",nd,,1,,,http://www.elfinanciero.com.mx/empresas/amovil-aumenta-ingresos-pero-pierde-884-mdp-en-el-3t15.html,https://www.bmv.com.mx/docs-pub/eventore/eventore_626966_1.pdf
AC,ArcaContinental,23/10/2015,"2,088","2,068",0.97,"1,830",14.10,,,1,,http://www.elfinanciero.com.mx/empresas/arca-continental-crece-ventas-y-flujo-operativo-26-durante-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628098_2015-03_1.pdf
CEMEX,Cemex,22/10/2015,-732,-54,"1,255.33","-1,339",-45.34,1,,,,http://www.elfinanciero.com.mx/empresas/cemex-vende-activos-por-620-mdd-para-recuperar-grado-de-inversion.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627741_2015-03_1.pdf
KOF,Coca-Cola Femsa,28/10/2015,"1,988","2,738",-27.39,"3,343",-40.53,,1,,,http://www.elfinanciero.com.mx/empresas/ganancia-de-coca-cola-femsa-cae-40-en-el-tercer-trimestre.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629262_2015-03_1.pdf
COMERCI*,Controladora Comercial Mexicana,22/10/2015,571,599,-4.67,569,0.35,,1,,,http://www.elfinanciero.com.mx/empresas/la-comer-registra-caida-de-en-su-flujo-operativo-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627938_2015-03_1.pdf
FEMSA,Femsa,28/10/2015,"4,974","5,522",-9.92,"4,806",3.50,,1,,,http://www.elfinanciero.com.mx/empresas/oxxo-inyecta-gas-a-femsa-en-3t15-suben-ingresos.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629693_2015-03_1.pdf
LAB,Genomma Lab Internacional,28/10/2015,183,321,-42.99,473,-61.31,,1,,,http://www.elfinanciero.com.mx/empresas/genomma-lab-sin-sanar-en-mexico-cae-utilidad-61-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_629795_2015-03_1.pdf
GRUMA*,Gruma,21/10/2015,"1,383","1,193",15.93,"1,154",19.84,1,,,,http://www.elfinanciero.com.mx/empresas/gruma-se-beneficia-del-peso-debil-ventas-crecen-21-y-flujo-25-en-3t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_627563_2015-03_1.pdf
OMA,Grupo Aeroportuario del Centro Norte,26/10/2015,305,330,-7.58,270,13.06,,1,,,http://www.elfinanciero.com.mx/empresas/pasajeros-e-iniciativas-comerciales-suben-flujo-operativo-de-oma-23.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_628493_2015-03_1.pdf
